"labels(n)","n.valid_until","n.country_codes","n.countries","n.node_id","n.sourceID","n.address","n.name","n.jurisdiction_description","n.service_provider","n.jurisdiction","n.closed_date","n.incorporation_date","n.ibcRUC","n.type","n.status","n.company_type","n.note"
"[""Intermediary""]","The Panama Papers  data is current through 2015","HKG","Hong Kong","11008061","Panama Papers","ZION EQUITIES LTD A.E.BANK BASEMENT; NEW WORLD TOWER 16-18 QUEEN'S ROAD CENTRAL; HONG KONG * PRIVATE & CONFIDENTIAL *","ZION EQUITIES LTD","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","VEN","Venezuela","11008062","Panama Papers","SRES. HERMO, C. A. AVENIDA LAMAS URBANIZACION MEVICA SANTA TERESA DEL TUY MIRANDA VENEZUELA","HERMO, C. A.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","FRA","France","11008063","Panama Papers","SFM GROUP 41 RUE DE FRANCE, 4TH FLOOR 06000 NICE FRANCE **S.I.**","SFM GROUP","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","BHS","Bahamas","11008064","Panama Papers","LESLIE VERNON ROLLE 1ST FLOOR PEEK BUILDING GEORGE STREET P.O. BOX N-10156 NASSAU BAHAMAS","LESLIE VERNON ROLLE","","","","","","","","UNRECOVERABLE ACCOUNTS","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008065","Panama Papers","","MR JOHN SHERWIN","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008066","Panama Papers","","SIMPLE GROUP LTD (GIBRA","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008067","Panama Papers","","MR B P SINGH","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008068","Panama Papers","","SHOW BUSINESS SOFTWARE","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008069","Panama Papers","","TECHTONIC DESIGN","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008070","Panama Papers","","THE INFORMATION BUREAU","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008071","Panama Papers","","THE INT.PORTFOLI0 GROUP","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008072","Panama Papers","","LEPORT & CO SOLICITORS","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008073","Panama Papers","","TREPPIDES ASSOCIATES LT","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008074","Panama Papers","","MR MICHAEL WHYKE/MRS C","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008075","Panama Papers","","ALIBAHAI, MR R","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11008076","Panama Papers","MR. PIERRE LUCAZ FIDUCIAIRE LUCIMO S.A. BOULEVARD JAMES-FAZY 10 1201 GENEVA SWITZERLAND","LUCAZ, PIERRE","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ARG","Argentina","11008078","Panama Papers","ALBERTO SHEMI AV. DEL LIBERTADOR 5282 BUENOS AIRES ARGENTINA","ALBERTO SHEMI","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","","","11008080","Panama Papers","","MARIO ESTEBAN SANCHEZ DARQUEA","","","","","","","","","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11008082","Panama Papers","","P. SCHMID & ASSOCIÉS SA","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","VEN","Venezuela","11008077","Panama Papers","AHMAD DARWICHE URBANIZACIÓN JORGE COLL; EDIFICIO 278; PAMPATAR; ISLA DE MARGARITA; VENEZUELA. ISLA MARGARITA VENEZUELA","AHMAD DARWICHE","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","VEN","Venezuela","11008079","Panama Papers","WALID ISSA FATTAH POLAMAR CALLE VELASQUEZ ENTRE CALLE DIAZ Y SAN RAFAEL 6301 ISLA MARGARITA VENEZUELA","WALID MOHAMAD ISSA FATTAH","","","","","","","","ACTIVE","",""
